epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8773,1.56697,3.57483,1.59267,0.01672,0.41667,0.25323,0.23021,0.52847,3.42123,0.91263,4.287e-05,4.287e-05,4.287e-05
2,36.6394,1.37133,3.44325,1.39887,0.02262,0.41667,0.34881,0.31023,0.50577,3.38954,0.9003,9.6729e-05,9.6729e-05,9.6729e-05
3,51.6888,1.47412,3.20465,1.41005,0.02717,0.41667,0.38096,0.34249,0.52117,3.36059,0.9038,0.000146815,0.000146815,0.000146815
4,65.8988,1.24987,2.62973,1.28723,0.03261,0.41667,0.36616,0.33045,0.58284,3.28084,0.9285,0.000193129,0.000193129,0.000193129
5,79.5781,1.43575,2.19195,1.33366,0.18705,0.44444,0.33713,0.29449,0.63395,3.09646,0.95319,0.000235671,0.000235671,0.000235671
6,92.6426,1.16475,1.72749,1.3449,0.79341,0.10745,0.32961,0.28458,0.66212,2.99745,0.97072,0.000274439,0.000274439,0.000274439
7,105.885,1.28786,1.89852,1.28368,0.69904,0.19364,0.43716,0.3305,0.72122,2.846,1.00319,0.000309436,0.000309436,0.000309436
8,119.288,1.30781,1.66761,1.28858,0.64622,0.16667,0.41968,0.31386,0.74797,2.87363,1.0166,0.000340659,0.000340659,0.000340659
9,132.188,1.26285,1.41644,1.26351,0.73355,0.15387,0.35282,0.28162,0.78549,2.97386,1.03457,0.00036811,0.00036811,0.00036811
10,145.458,1.24521,1.50907,1.2267,0.53597,0.13889,0.32232,0.24335,0.76664,3.06515,1.03349,0.000391789,0.000391789,0.000391789
11,162.198,1.23584,1.70293,1.30241,0.47295,0.13889,0.32653,0.23781,0.81275,3.09763,1.04885,0.000411695,0.000411695,0.000411695
12,174.68,1.1348,1.48899,1.13205,0.57805,0.19057,0.33151,0.2506,0.86805,3.1157,1.0888,0.000427828,0.000427828,0.000427828
13,187.323,1.08488,1.46759,1.10708,0.60986,0.25,0.35201,0.26403,0.87708,3.03807,1.11328,0.000440189,0.000440189,0.000440189
14,199.73,1.21792,1.40922,1.16285,0.59402,0.32544,0.34943,0.25891,0.88956,2.8893,1.1175,0.000448777,0.000448777,0.000448777
15,212.343,1.19025,1.71282,1.20518,0.57617,0.37791,0.38261,0.28991,0.93868,2.71912,1.21812,0.000453593,0.000453593,0.000453593
16,230.963,1.27571,1.77595,1.23215,0.57617,0.37791,0.38261,0.28991,0.93868,2.71912,1.21812,0.000454636,0.000454636,0.000454636
17,244.328,1.2496,1.55233,1.2479,0.56545,0.36111,0.43727,0.33887,0.95355,2.52237,1.25998,0.000451907,0.000451907,0.000451907
18,256.612,1.13491,1.51305,1.24329,0.61332,0.44071,0.5597,0.43368,0.94987,2.30479,1.24102,0.000445405,0.000445405,0.000445405
19,269.256,1.16853,1.30962,1.21508,0.61332,0.44071,0.5597,0.43368,0.94987,2.30479,1.24102,0.00043513,0.00043513,0.00043513
20,282.406,0.96789,1.20606,1.11161,0.70937,0.61023,0.61217,0.46467,1.00333,2.26149,1.2917,0.000421083,0.000421083,0.000421083
21,296.219,1.07526,1.67313,1.14276,0.71563,0.55935,0.61246,0.453,1.03037,2.31518,1.29493,0.000403264,0.000403264,0.000403264
22,310.954,0.87089,1.82293,1.1126,0.71563,0.55935,0.61246,0.453,1.03037,2.31518,1.29493,0.000381672,0.000381672,0.000381672
23,327.971,0.94064,1.73181,1.09651,0.71138,0.52778,0.60633,0.45692,1.06284,2.3394,1.34633,0.000356307,0.000356307,0.000356307
24,340.753,0.97027,1.61624,1.11632,0.71138,0.52778,0.60633,0.45692,1.06284,2.3394,1.34633,0.00032717,0.00032717,0.00032717
25,353.051,1.0768,1.66536,1.13413,0.72484,0.58544,0.62507,0.48554,1.04213,2.28045,1.28965,0.00029426,0.00029426,0.00029426
26,365.262,1.00871,1.7185,1.10238,0.72484,0.58544,0.62507,0.48554,1.04213,2.28045,1.28965,0.000250075,0.000250075,0.000250075
27,377.536,0.9232,1.6684,1.06511,0.68544,0.61111,0.66376,0.50578,0.99504,2.15406,1.24509,0.000202918,0.000202918,0.000202918
28,390.011,0.88793,1.60436,1.01152,0.68544,0.61111,0.66376,0.50578,0.99504,2.15406,1.24509,0.000155761,0.000155761,0.000155761
29,402.232,1.01479,1.73419,1.10671,0.76734,0.73309,0.7558,0.58363,0.97067,1.95009,1.20537,0.000108604,0.000108604,0.000108604
30,414.586,1.05477,1.81598,1.28425,0.76734,0.73309,0.7558,0.58363,0.97067,1.95009,1.20537,6.1447e-05,6.1447e-05,6.1447e-05
