epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,458.856,1.31013,3.11908,1.68252,0.28917,0.38338,0.33417,0.22374,1.17838,3.26611,1.57154,0.000412698,0.000412698,0.000412698
2,946.766,1.32915,2.69378,1.7,0.41847,0.4534,0.37662,0.19573,1.52385,3.47698,1.93555,0.000801996,0.000801996,0.000801996
3,1773.49,1.38754,2.61754,1.7318,0.26788,0.35186,0.23626,0.10494,1.71256,4.88401,2.20449,0.00116379,0.00116379,0.00116379
4,2181.7,1.38612,2.56763,1.72951,0.32991,0.40147,0.26406,0.14178,1.54159,3.88003,1.8508,0.00112625,0.00112625,0.00112625
5,2547.92,1.3407,2.39153,1.71325,0.33366,0.5046,0.40896,0.25082,1.41396,2.8222,1.95989,0.001085,0.001085,0.001085
6,2914.32,1.33201,2.34397,1.703,0.45538,0.5233,0.4716,0.29479,1.24705,2.40422,1.72903,0.00104375,0.00104375,0.00104375
7,3282.86,1.28537,2.18209,1.64936,0.53449,0.50621,0.50044,0.31294,1.4214,2.66635,1.80297,0.0010025,0.0010025,0.0010025
8,3649.47,1.27917,2.10678,1.66946,0.48071,0.54792,0.50071,0.24156,1.63822,2.36767,1.98452,0.00096125,0.00096125,0.00096125
9,4017.48,1.26602,1.98241,1.63768,0.60367,0.5085,0.56812,0.29858,1.61406,2.08398,1.97175,0.00092,0.00092,0.00092
10,4383.1,1.27431,2.00101,1.61726,0.49072,0.6653,0.62829,0.3854,1.30803,1.97306,1.6484,0.00087875,0.00087875,0.00087875
11,4749.56,1.23089,1.93,1.59508,0.60676,0.59103,0.61711,0.39931,1.26833,1.83802,1.64635,0.0008375,0.0008375,0.0008375
12,5116.92,1.22431,1.87265,1.57807,0.56742,0.61794,0.62949,0.3917,1.31735,1.75533,1.62867,0.00079625,0.00079625,0.00079625
13,5487.07,1.15114,1.76477,1.5289,0.5906,0.64454,0.64051,0.42331,1.32416,1.81337,1.7354,0.000755,0.000755,0.000755
14,5856.32,1.13488,1.6904,1.52592,0.66493,0.65821,0.68543,0.45439,1.14489,1.62304,1.48157,0.00071375,0.00071375,0.00071375
15,6223.87,1.13739,1.65714,1.51815,0.66823,0.65207,0.67577,0.47493,1.13254,1.55739,1.57313,0.0006725,0.0006725,0.0006725
16,6591.72,1.13187,1.60122,1.51788,0.63009,0.61968,0.70872,0.48825,1.11022,1.49871,1.54644,0.00063125,0.00063125,0.00063125
17,6956.87,1.09463,1.51154,1.49397,0.54385,0.6722,0.64707,0.46146,1.04932,1.5888,1.46393,0.00059,0.00059,0.00059
18,7323.47,1.07891,1.53657,1.47038,0.70469,0.66487,0.6988,0.47791,1.09568,1.47194,1.51547,0.00054875,0.00054875,0.00054875
19,7690.61,1.06473,1.44791,1.45058,0.68973,0.69087,0.7315,0.51148,1.1668,1.42831,1.61405,0.0005075,0.0005075,0.0005075
20,8060.76,1.03791,1.38199,1.44914,0.76135,0.73696,0.78107,0.52245,1.14625,1.22667,1.48293,0.00046625,0.00046625,0.00046625
21,8426.59,1.0288,1.30707,1.49792,0.65916,0.70986,0.72493,0.51574,1.10575,1.43541,1.48982,0.000425,0.000425,0.000425
22,8819.8,1.00021,1.21436,1.47223,0.6975,0.7255,0.7612,0.51623,1.06368,1.34865,1.45534,0.00038375,0.00038375,0.00038375
23,9187.34,0.92775,1.13882,1.4158,0.7599,0.70971,0.78017,0.58742,0.97177,1.25326,1.38314,0.0003425,0.0003425,0.0003425
24,9548.68,0.91807,1.06595,1.41755,0.68978,0.74998,0.76701,0.5372,1.05541,1.31107,1.48503,0.00030125,0.00030125,0.00030125
25,9914.47,0.89669,1.01581,1.38593,0.75175,0.72841,0.77535,0.57594,1.00732,1.22712,1.43644,0.00026,0.00026,0.00026
26,10277.3,0.83741,0.97162,1.3348,0.73645,0.66608,0.75704,0.5719,0.96222,1.20623,1.38824,0.00021875,0.00021875,0.00021875
27,10643.2,0.83671,0.91464,1.34134,0.85726,0.70687,0.82842,0.60483,0.96556,1.03819,1.41162,0.0001775,0.0001775,0.0001775
28,11006.7,0.82644,0.90328,1.32949,0.8168,0.75075,0.83647,0.62553,0.93307,1.04254,1.32816,0.00013625,0.00013625,0.00013625
29,11373.5,0.80822,0.82979,1.30017,0.76702,0.82034,0.85256,0.64605,0.90565,0.98366,1.31003,9.5e-05,9.5e-05,9.5e-05
30,11736.4,0.77435,0.84869,1.28561,0.81888,0.75523,0.84512,0.64343,0.89172,0.99812,1.30398,5.375e-05,5.375e-05,5.375e-05
