epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.655,2.14018,7.85368,3.36062,0.02948,1,0.50426,0.37234,2.63382,16.3621,3.97718,0.00043342,0.00043342,0.00043342
2,320.286,2.06708,6.0945,3.13745,0.04032,1,0.56225,0.35513,2.43975,15.5187,4.97039,0.000854354,0.000854354,0.000854354
3,471.768,2.14521,5.56229,3.24688,0.00729,0.84,0.27848,0.1679,3.11126,15.7232,5.76997,0.00124558,0.00124558,0.00124558
4,604.369,2.08838,5.22685,3.19181,0.69195,0.35945,0.59908,0.33324,2.22503,12.468,5.51852,0.00150197,0.00150197,0.00150197
5,738.314,2.11378,4.73124,3.14183,0.23367,0.16,0.08967,0.03724,3.46509,15.0639,4.90757,0.00144696,0.00144696,0.00144696
6,868.882,2.30381,4.82197,3.28497,0.28274,0.08,0.10216,0.03387,6.00609,15.8949,7.1941,0.00139195,0.00139195,0.00139195
7,1001.34,2.08945,4.43971,3.18275,0.42784,0.29967,0.26682,0.10411,4.36506,12.5678,5.8226,0.00133693,0.00133693,0.00133693
8,1130.73,2.05022,3.9762,3.04528,0.03875,0.04,0.00307,0.0007,9.88923,27.5233,11.1846,0.00128192,0.00128192,0.00128192
9,1290.87,2.05786,3.83923,2.99708,0.49145,0.58015,0.50973,0.27697,2.71919,8.36727,4.83826,0.00122691,0.00122691,0.00122691
10,1436.31,1.86447,3.47669,2.92217,0.69097,0.64,0.71737,0.4699,1.92104,6.51078,3.77002,0.0011719,0.0011719,0.0011719
11,1566.65,1.90863,3.44024,2.99191,0.63349,0.6,0.74863,0.48499,1.75218,6.54944,3.47275,0.00111689,0.00111689,0.00111689
12,1720.71,2.09597,3.41617,3.05487,0.73351,0.76,0.8459,0.5259,2.00886,6.15401,3.64581,0.00106188,0.00106188,0.00106188
13,1873.02,1.96613,3.15362,2.9104,0.60477,0.88,0.81962,0.61679,1.69409,5.42054,3.3893,0.00100687,0.00100687,0.00100687
14,2032.34,1.85682,3.00829,2.90143,0.76103,0.96,0.91514,0.67484,1.68952,4.85488,3.33918,0.000951857,0.000951857,0.000951857
15,2186.92,1.82808,3.07682,2.93122,0.73759,0.84,0.85263,0.7025,1.49274,4.53609,3.11456,0.000896846,0.000896846,0.000896846
16,2359.98,1.71048,2.71613,2.80643,0.77225,0.88,0.86625,0.65254,1.74821,4.48252,3.55239,0.000841835,0.000841835,0.000841835
17,2532.98,1.78188,2.73208,2.8467,0.66279,0.70791,0.80166,0.55629,2.06669,4.95742,3.83593,0.000786824,0.000786824,0.000786824
18,2704.93,1.81224,2.75326,2.83862,0.77171,0.88,0.88481,0.68021,1.67575,4.02147,3.21065,0.000731813,0.000731813,0.000731813
19,2894.21,1.67468,2.48131,2.6956,0.8694,0.84,0.9368,0.70871,1.89016,4.10173,3.579,0.000676802,0.000676802,0.000676802
20,3100.83,1.75953,2.48393,2.77227,0.91102,0.81949,0.94001,0.57549,2.46081,4.11653,4.07638,0.000621791,0.000621791,0.000621791
21,3252.65,1.66283,4.01386,2.96552,0.88463,0.92012,0.97001,0.71488,1.76291,3.34388,3.59628,0.00056678,0.00056678,0.00056678
22,3403.76,1.49594,3.65052,2.88192,0.94538,0.92,0.97556,0.7354,1.69918,3.35704,3.64751,0.000511769,0.000511769,0.000511769
23,3574.08,1.63402,3.35435,2.93751,0.9426,0.92,0.96995,0.74986,1.65893,3.15472,3.30388,0.000456758,0.000456758,0.000456758
24,3806.44,1.35848,3.10725,2.70679,0.95251,1,0.99346,0.76768,1.72146,2.94881,3.44199,0.000401747,0.000401747,0.000401747
25,4009.97,1.29833,3.05275,2.69231,0.90171,0.96,0.98271,0.79638,1.46526,2.92373,2.96659,0.000346736,0.000346736,0.000346736
26,4165.76,1.375,3.02063,2.68226,1,0.85293,0.97314,0.76236,1.57173,2.95137,3.12975,0.000291725,0.000291725,0.000291725
27,4305.42,1.31484,2.84144,2.64286,0.92047,0.96,0.9715,0.77917,1.57689,2.9252,3.12622,0.000236714,0.000236714,0.000236714
28,4450.9,1.32487,2.83766,2.64109,0.94624,0.92,0.98192,0.77752,1.58099,2.7695,3.13522,0.000181703,0.000181703,0.000181703
29,4629,1.27824,2.7642,2.53815,0.89147,0.98597,0.98431,0.77739,1.62214,2.75504,3.20923,0.000126692,0.000126692,0.000126692
30,4786.36,1.37413,2.80648,2.60207,0.95564,0.92,0.98141,0.77847,1.53938,2.73572,3.05044,7.1681e-05,7.1681e-05,7.1681e-05
