epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,186.089,1.2703,5.78492,0.03409,0.00364,1,0.06027,0.02533,0.99224,12.0672,0.04454,0.00130026,0.00043342,0.00130026,0.00043342,0.00130026,0.00043342,0.00130026,0.00043342
2,328.642,1.13655,5.47378,0.02884,0.00372,1,0.17152,0.09397,0.89836,11.8775,0.04009,0.00256306,0.000854354,0.00256306,0.000854354,0.00256306,0.000854354,0.00256306,0.000854354
3,455.085,1.0261,5.38636,0.02568,0.00406,1,0.4945,0.30878,0.84844,11.6598,0.03768,0.00373675,0.00124558,0.00373675,0.00124558,0.00373675,0.00124558,0.00373675,0.00124558
4,586.653,0.8783,5.05299,0.02168,0.00426,1,0.43405,0.27863,0.76438,10.8848,0.03462,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
5,711.255,0.97252,4.75614,0.02107,0.00491,1,0.52186,0.41476,0.53764,9.91577,0.02422,0.00434087,0.00144696,0.00434087,0.00144696,0.00434087,0.00144696,0.00434087,0.00144696
6,827.191,0.98258,4.45679,0.02233,0.81275,0.1753,0.5457,0.42709,0.74656,9.42208,0.03424,0.00417584,0.00139195,0.00417584,0.00139195,0.00417584,0.00139195,0.00417584,0.00139195
7,946.048,0.91505,4.16891,0.02296,0.43368,0.49037,0.49362,0.41159,0.72791,8.19816,0.03299,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
8,1060,0.89933,3.70256,0.02155,0.63203,0.56,0.60291,0.51149,0.74181,7.71938,0.03355,0.00384577,0.00128192,0.00384577,0.00128192,0.00384577,0.00128192,0.00384577,0.00128192
9,1178.5,0.92925,3.60309,0.02116,0.59172,0.69597,0.70915,0.60026,0.65225,6.79465,0.02905,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691
10,1292.2,0.88509,3.1897,0.02039,0.6827,0.88,0.77025,0.62518,0.74705,6.19212,0.03392,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
11,1406.02,0.90151,3.00553,0.02126,0.73592,0.84,0.85542,0.72431,0.65882,5.66217,0.02939,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689
12,1525.66,0.99642,2.87775,0.02335,0.83555,0.81328,0.89253,0.75301,0.69986,5.07311,0.03155,0.00318564,0.00106188,0.00318564,0.00106188,0.00318564,0.00106188,0.00318564,0.00106188
