epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3613,1.07296,1.799,1.56628,0.70378,0.66934,0.70717,0.44686,1.18619,1.76338,1.76714,0.000659498,0.000659498,0.000659498
2,75.5042,1.17275,1.43394,1.61297,0.59305,0.69907,0.65815,0.36135,1.30405,4.63798,2.00002,0.00131304,0.00131304,0.00131304
3,110.463,1.20372,1.34384,1.63649,0.60282,0.48731,0.50275,0.24804,1.88527,2.68707,3.24116,0.00195337,0.00195337,0.00195337
4,145.188,1.20243,1.2343,1.61513,0.6524,0.59546,0.62811,0.41861,1.30492,1.74492,1.83041,0.0019406,0.0019406,0.0019406
5,178.993,1.14795,1.19502,1.59741,0.88582,0.68917,0.82989,0.58838,1.08237,1.31861,1.72836,0.0019208,0.0019208,0.0019208
6,214.332,1.09603,1.10297,1.54342,0.73158,0.64721,0.69344,0.39063,1.63033,1.3875,2.3418,0.001901,0.001901,0.001901
7,247.696,1.11226,1.09667,1.55411,0.78203,0.70558,0.78875,0.51154,1.29245,1.1721,1.97013,0.0018812,0.0018812,0.0018812
8,282.079,1.0773,1.05356,1.51544,0.8359,0.71574,0.81803,0.5303,1.25804,1.0876,1.83231,0.0018614,0.0018614,0.0018614
9,316.012,1.06392,1.0151,1.49435,0.85504,0.73604,0.82634,0.56631,1.14751,0.96633,1.69262,0.0018416,0.0018416,0.0018416
10,349.795,1.01473,0.97006,1.48413,0.8361,0.7868,0.83728,0.56236,1.24315,0.96402,1.86923,0.0018218,0.0018218,0.0018218
11,385.172,1.04921,0.97446,1.49299,0.81093,0.70756,0.78394,0.50133,1.19691,1.23189,1.84081,0.001802,0.001802,0.001802
12,418.966,1.00035,0.94584,1.46213,0.86506,0.76904,0.85989,0.50392,1.42985,0.95166,1.95758,0.0017822,0.0017822,0.0017822
13,454.178,0.96977,0.86602,1.42714,0.88374,0.78173,0.87789,0.65937,0.93075,0.73435,1.3985,0.0017624,0.0017624,0.0017624
