epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,329.471,1.12984,2.68263,1.51737,0.68225,0.63389,0.68527,0.47288,0.98104,1.52244,1.51953,0.00997585,0.00332528,0.00997585,0.00332528,0.00997585,0.00332528,0.00997585,0.00332528
2,575.325,1.18882,1.94878,1.54108,0.57762,0.57622,0.56754,0.36728,1.16221,1.6291,1.77366,0.0197781,0.00659269,0.0197781,0.00659269,0.0197781,0.00659269,0.0197781,0.00659269
3,792.44,1.28076,1.89726,1.61765,0.40376,0.44302,0.29675,0.16651,1.48786,2.76666,2.14641,0.0293823,0.00979411,0.0293823,0.00979411,0.0293823,0.00979411,0.0293823,0.00979411
4,1000.74,1.32544,1.86344,1.66141,0.67656,0.5363,0.60428,0.3943,1.13602,1.60475,1.7198,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1208.84,1.27509,1.67717,1.61615,0.715,0.65459,0.68976,0.46074,1.13341,1.18457,1.72679,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1416.34,1.23943,1.57839,1.58676,0.72954,0.66795,0.70356,0.4816,1.07705,1.15424,1.61036,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1624.93,1.20266,1.47629,1.55845,0.73465,0.65631,0.72354,0.50266,1.044,1.07577,1.61409,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1834.37,1.17294,1.39465,1.53906,0.81469,0.69206,0.78315,0.55565,0.97354,0.93858,1.51332,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2046.19,1.14583,1.35296,1.517,0.75381,0.64587,0.73071,0.52766,0.94167,1.19268,1.4948,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2261.73,1.121,1.27981,1.48911,0.83202,0.72788,0.81147,0.58742,0.93257,0.84433,1.47137,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2475.32,1.10481,1.24742,1.47448,0.8188,0.72614,0.81284,0.58234,0.93148,0.85431,1.4625,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
