epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0393,1.25657,5.152,0.32204,1.77172,1.4321,0.70951,0.78548,0.81887,0.55399,0.63081,0.59136,0.60362,0.27828,0.99229,3.14768,0.18574,1.62784,1.37145,0.000544553,0.000544553,0.000544553
2,60.6062,1.00666,3.79386,0.27972,1.14224,1.22835,0.78462,0.87163,0.88069,0.646,0.76195,0.76563,0.77803,0.3964,0.8547,2.58962,0.17696,0.87825,1.17672,0.00108933,0.00108933,0.00108933
3,85.9705,0.99625,3.489,0.26378,1.01609,1.21898,0.77085,0.82224,0.86935,0.62071,0.75284,0.75672,0.73661,0.3516,0.9905,2.83375,0.16522,0.94942,1.34157,0.0016231,0.0016231,0.0016231
4,111.439,0.98146,3.47685,0.25043,0.96379,1.2022,0.83637,0.87545,0.8962,0.6466,0.7991,0.75617,0.7643,0.40848,0.9367,2.53768,0.19286,0.85346,1.25509,0.00161749,0.00161749,0.00161749
5,137.075,0.95744,3.30826,0.24151,0.89228,1.18585,0.79474,0.81428,0.85198,0.58973,0.75094,0.75375,0.76521,0.41623,1.01125,2.40396,0.17499,0.89417,1.31329,0.00160099,0.00160099,0.00160099
6,162.482,0.91445,3.16755,0.23442,0.84731,1.16855,0.86694,0.9011,0.93444,0.71788,0.86209,0.83092,0.86827,0.56193,0.82319,1.86656,0.14211,0.67706,1.17352,0.00158448,0.00158448,0.00158448
7,187.948,0.8836,2.9969,0.2272,0.78748,1.145,0.85771,0.8568,0.92106,0.72695,0.80868,0.79938,0.83448,0.47709,0.73954,2.12077,0.15779,0.68994,1.10353,0.00156798,0.00156798,0.00156798
8,213.186,0.85016,2.80363,0.2168,0.77477,1.12776,0.88977,0.92754,0.9438,0.75598,0.86424,0.87023,0.88965,0.56096,0.6972,1.7723,0.1481,0.59759,1.07622,0.00155148,0.00155148,0.00155148
9,238.375,0.83001,2.70947,0.2136,0.73307,1.11757,0.91893,0.92405,0.96517,0.77757,0.89518,0.85892,0.89598,0.60672,0.67022,1.59617,0.14633,0.55517,1.06385,0.00153497,0.00153497,0.00153497
10,263.517,0.82158,2.59954,0.20834,0.70377,1.10895,0.89965,0.93303,0.95865,0.78504,0.89898,0.88005,0.91269,0.59559,0.68132,1.6656,0.13608,0.56919,1.0726,0.00151847,0.00151847,0.00151847
11,289.006,0.80851,2.56701,0.20697,0.69599,1.10549,0.89868,0.92934,0.95932,0.78584,0.91171,0.8624,0.91622,0.6263,0.67355,1.56261,0.14153,0.54534,1.07589,0.00150197,0.00150197,0.00150197
12,314.936,0.78723,2.48588,0.20084,0.6791,1.09563,0.89028,0.93589,0.96156,0.79095,0.86693,0.90283,0.91772,0.57143,0.68222,1.63444,0.14451,0.54393,1.06011,0.00148546,0.00148546,0.00148546
13,341.17,0.77127,2.39505,0.19907,0.66189,1.08132,0.9069,0.94677,0.96833,0.8121,0.91129,0.91932,0.94608,0.65528,0.60784,1.39152,0.12746,0.51244,1.02823,0.00146896,0.00146896,0.00146896
14,366.667,0.76615,2.38277,0.19412,0.6567,1.08502,0.91701,0.93523,0.964,0.79881,0.88057,0.89855,0.91632,0.59164,0.64757,1.51027,0.13071,0.53945,1.05395,0.00145246,0.00145246,0.00145246
15,392.223,0.76452,2.41269,0.19342,0.6394,1.08065,0.91275,0.94259,0.96858,0.80548,0.92251,0.92604,0.94878,0.67061,0.63853,1.31245,0.12468,0.49189,1.02743,0.00143595,0.00143595,0.00143595
16,417.786,0.75809,2.28879,0.18888,0.64229,1.07982,0.90067,0.9478,0.96289,0.81167,0.85155,0.90396,0.89694,0.62193,0.58838,1.40521,0.12014,0.48143,1.01056,0.00141945,0.00141945,0.00141945
17,443.276,0.73728,2.26155,0.18788,0.62602,1.06911,0.91538,0.92458,0.96183,0.80927,0.89933,0.87068,0.89962,0.63659,0.61748,1.41313,0.11339,0.5011,1.01607,0.00140295,0.00140295,0.00140295
18,468.302,0.72897,2.19745,0.18384,0.60528,1.06273,0.92197,0.9356,0.96462,0.82201,0.89756,0.90361,0.91742,0.68445,0.58894,1.21593,0.11447,0.48615,0.99817,0.00138644,0.00138644,0.00138644
19,494.396,0.7173,2.15516,0.18756,0.60143,1.06001,0.9283,0.95094,0.97522,0.83003,0.91269,0.93354,0.94258,0.67705,0.57877,1.214,0.11926,0.46388,1.00008,0.00136994,0.00136994,0.00136994
20,520.283,0.71266,2.12057,0.18336,0.59483,1.05241,0.94314,0.94223,0.97249,0.83392,0.93945,0.9297,0.95252,0.67689,0.5821,1.2907,0.11747,0.44584,0.9945,0.00135344,0.00135344,0.00135344
21,546.316,0.70211,2.08271,0.18124,0.58925,1.04795,0.93799,0.94083,0.97336,0.8421,0.93263,0.93413,0.95953,0.72208,0.56595,1.16407,0.11011,0.4439,0.98373,0.00133693,0.00133693,0.00133693
22,571.587,0.69532,2.05369,0.17997,0.57512,1.04442,0.93083,0.95666,0.97678,0.84888,0.92978,0.94531,0.95871,0.73202,0.55726,1.08713,0.1061,0.42109,0.98073,0.00132043,0.00132043,0.00132043
23,597.934,0.6896,1.97052,0.17574,0.56418,1.0464,0.93995,0.95916,0.97586,0.84169,0.92095,0.93865,0.94768,0.70706,0.55842,1.13882,0.10445,0.42402,0.98404,0.00130393,0.00130393,0.00130393
24,624.051,0.67757,2.00331,0.17812,0.56438,1.03857,0.92058,0.95582,0.96808,0.84281,0.9229,0.94855,0.95638,0.72931,0.53254,1.07152,0.11124,0.43105,0.97041,0.00128742,0.00128742,0.00128742
25,650.707,0.6745,1.94195,0.17704,0.55316,1.04122,0.93668,0.95803,0.97821,0.83567,0.94831,0.9388,0.9701,0.73538,0.57529,1.07192,0.10748,0.44609,0.99556,0.00127092,0.00127092,0.00127092
26,676.239,0.67765,1.95915,0.1728,0.55959,1.0376,0.9241,0.96772,0.97608,0.85762,0.93718,0.93698,0.95929,0.75711,0.53507,1.03894,0.10218,0.41185,0.97865,0.00125442,0.00125442,0.00125442
27,702.007,0.67142,1.90713,0.17122,0.55262,1.03245,0.94447,0.95123,0.97834,0.84749,0.95564,0.93516,0.96335,0.72621,0.56032,1.10533,0.10068,0.41171,0.97287,0.00123791,0.00123791,0.00123791
28,727.644,0.66704,1.91527,0.17272,0.55097,1.03202,0.9415,0.95415,0.97661,0.84097,0.9298,0.92632,0.94124,0.73982,0.57034,1.07514,0.11341,0.42949,0.98847,0.00122141,0.00122141,0.00122141
29,753.464,0.67241,1.90383,0.16997,0.55948,1.03842,0.94439,0.96374,0.98118,0.86204,0.94114,0.95521,0.96864,0.7453,0.52809,1.01903,0.11088,0.40526,0.95962,0.00120491,0.00120491,0.00120491
30,779.567,0.64589,1.87216,0.16731,0.53238,1.02541,0.95235,0.9498,0.97845,0.86168,0.95546,0.95167,0.96985,0.74619,0.52169,0.98843,0.10734,0.39435,0.96541,0.0011884,0.0011884,0.0011884
31,806.193,0.64019,1.78611,0.16306,0.51944,1.02016,0.94775,0.94673,0.97922,0.86046,0.95448,0.95083,0.97174,0.78382,0.52258,0.87358,0.10004,0.39728,0.97231,0.0011719,0.0011719,0.0011719
32,832.097,0.63914,1.79481,0.16389,0.52871,1.01946,0.93781,0.97073,0.97733,0.87129,0.93073,0.95764,0.96854,0.77539,0.49645,0.92958,0.10435,0.4023,0.95377,0.0011554,0.0011554,0.0011554
33,858.934,0.63012,1.71998,0.1627,0.51427,1.01339,0.95642,0.9651,0.98293,0.86373,0.95216,0.95148,0.97045,0.76566,0.52398,0.97538,0.10193,0.38842,0.9561,0.00113889,0.00113889,0.00113889
34,885.458,0.63437,1.65458,0.15991,0.51243,1.01066,0.94468,0.95436,0.97219,0.86178,0.94646,0.95905,0.97668,0.77621,0.50535,0.89837,0.10392,0.39224,0.9505,0.00112239,0.00112239,0.00112239
35,911.41,0.63998,1.72637,0.16432,0.52282,1.01102,0.95739,0.95746,0.98192,0.85326,0.95746,0.95563,0.97299,0.7593,0.53581,0.93196,0.10265,0.38986,0.96268,0.00110589,0.00110589,0.00110589
36,937.855,0.62363,1.68951,0.15752,0.50292,1.0049,0.94814,0.95793,0.98152,0.87616,0.94917,0.95619,0.97213,0.76783,0.49712,0.9192,0.09579,0.37301,0.94529,0.00108938,0.00108938,0.00108938
37,963.92,0.61443,1.67578,0.15846,0.50172,1.00719,0.93743,0.95234,0.97394,0.86039,0.93354,0.94489,0.96085,0.73473,0.5187,0.97011,0.09733,0.40069,0.94994,0.00107288,0.00107288,0.00107288
38,990.302,0.61276,1.65453,0.15991,0.49326,1.00362,0.93893,0.9701,0.98071,0.8675,0.93663,0.9659,0.97172,0.78563,0.49618,0.84515,0.09385,0.37234,0.94979,0.00105638,0.00105638,0.00105638
39,1016.38,0.59665,1.65513,0.1585,0.48631,0.9972,0.94549,0.96026,0.98108,0.87874,0.95142,0.95383,0.97352,0.79739,0.49249,0.88717,0.09445,0.37463,0.95013,0.00103987,0.00103987,0.00103987
40,1042.81,0.6131,1.62938,0.15765,0.49213,1.00401,0.94898,0.96084,0.9819,0.87373,0.95856,0.96093,0.97988,0.77033,0.49101,0.88737,0.09345,0.37535,0.94862,0.00102337,0.00102337,0.00102337
41,1068.95,0.60885,1.61328,0.15565,0.48686,1.00694,0.95387,0.9482,0.97855,0.87488,0.95571,0.9506,0.97405,0.8077,0.4855,0.79358,0.09355,0.37257,0.94403,0.00100687,0.00100687,0.00100687
42,1095.18,0.60854,1.60514,0.15474,0.49103,0.99388,0.94308,0.95666,0.98069,0.8775,0.95773,0.94129,0.97311,0.78135,0.48157,0.84839,0.09338,0.36953,0.93817,0.000990365,0.000990365,0.000990365
43,1121,0.60441,1.59954,0.15514,0.48982,1.00446,0.96205,0.95572,0.98103,0.87412,0.96605,0.95212,0.97519,0.80424,0.48099,0.80528,0.08866,0.36354,0.94485,0.000973861,0.000973861,0.000973861
44,1147.19,0.60622,1.59187,0.15423,0.48606,1.00077,0.94651,0.94925,0.97671,0.86823,0.9546,0.9553,0.97061,0.7916,0.48689,0.80065,0.0907,0.38805,0.94115,0.000957358,0.000957358,0.000957358
45,1173.34,0.60246,1.54814,0.15026,0.48048,0.99716,0.93983,0.96383,0.97467,0.86733,0.94824,0.96039,0.96981,0.79954,0.48026,0.78885,0.09112,0.37313,0.94039,0.000940855,0.000940855,0.000940855
46,1198.81,0.59106,1.54386,0.15233,0.4787,0.99431,0.93456,0.97059,0.98166,0.88203,0.95661,0.93701,0.97073,0.80189,0.47073,0.80361,0.09237,0.35878,0.94038,0.000924352,0.000924352,0.000924352
47,1224.97,0.5827,1.50452,0.14954,0.46807,0.99319,0.93699,0.95948,0.98026,0.89037,0.94615,0.96692,0.97902,0.83177,0.45885,0.73137,0.0875,0.35384,0.92824,0.000907848,0.000907848,0.000907848
48,1250.67,0.57393,1.46114,0.15005,0.46381,0.98532,0.94411,0.95951,0.98187,0.88213,0.94359,0.959,0.97414,0.82136,0.46724,0.74521,0.0943,0.36272,0.93138,0.000891345,0.000891345,0.000891345
49,1276.75,0.58377,1.47759,0.15095,0.46507,0.98817,0.94709,0.96665,0.98095,0.87902,0.93882,0.95863,0.96543,0.82108,0.46991,0.74464,0.08824,0.35707,0.93813,0.000874842,0.000874842,0.000874842
50,1302.78,0.57735,1.46864,0.14808,0.45858,0.9847,0.95273,0.95046,0.97918,0.88742,0.95322,0.95088,0.97193,0.82935,0.4564,0.74481,0.09218,0.35116,0.93016,0.000858338,0.000858338,0.000858338
51,1328.61,0.56625,1.43041,0.14514,0.44554,0.98471,0.94535,0.97031,0.98121,0.89268,0.94472,0.97167,0.97649,0.83562,0.44887,0.6762,0.08862,0.35279,0.92434,0.000841835,0.000841835,0.000841835
52,1354.57,0.56426,1.41726,0.14792,0.4565,0.97871,0.94104,0.96435,0.98209,0.89707,0.95142,0.9477,0.97598,0.83117,0.44424,0.74515,0.08799,0.35174,0.92151,0.000825332,0.000825332,0.000825332
53,1380.83,0.56238,1.43749,0.14352,0.44897,0.98662,0.9535,0.96187,0.98116,0.88913,0.95201,0.96178,0.97162,0.82451,0.45746,0.74248,0.08411,0.3503,0.93064,0.000808828,0.000808828,0.000808828
54,1406.39,0.56093,1.43065,0.14566,0.45345,0.98052,0.93783,0.96763,0.98125,0.8903,0.93594,0.96566,0.97639,0.81581,0.45959,0.74348,0.08644,0.34289,0.92712,0.000792325,0.000792325,0.000792325
55,1432.68,0.55102,1.37968,0.14322,0.4472,0.97385,0.9643,0.93781,0.98088,0.89209,0.96773,0.93746,0.97614,0.8428,0.45244,0.71259,0.08721,0.33831,0.92555,0.000775822,0.000775822,0.000775822
56,1458.33,0.55888,1.40076,0.14646,0.44998,0.98474,0.94353,0.97134,0.98288,0.89064,0.93933,0.96656,0.97546,0.83218,0.44563,0.6938,0.09107,0.34165,0.91381,0.000759318,0.000759318,0.000759318
57,1484.35,0.54882,1.33845,0.14267,0.43641,0.97296,0.95533,0.94738,0.98143,0.89884,0.96469,0.94527,0.98147,0.84892,0.43865,0.6747,0.08437,0.33206,0.91643,0.000742815,0.000742815,0.000742815
58,1510.55,0.5475,1.34881,0.14363,0.4416,0.9763,0.9554,0.95582,0.98157,0.89548,0.95925,0.95905,0.97796,0.84849,0.43039,0.65002,0.08322,0.33535,0.91579,0.000726312,0.000726312,0.000726312
59,1536.2,0.55045,1.34349,0.14356,0.43701,0.97595,0.95172,0.96065,0.98483,0.8947,0.94858,0.95871,0.97771,0.8417,0.45298,0.67011,0.08375,0.3419,0.92113,0.000709809,0.000709809,0.000709809
60,1561.79,0.54942,1.35462,0.139,0.44135,0.97335,0.96464,0.96614,0.98182,0.89584,0.96759,0.9675,0.97926,0.84417,0.4325,0.66188,0.08135,0.33168,0.91768,0.000693305,0.000693305,0.000693305
61,1587.7,0.54225,1.34405,0.14168,0.42626,0.96928,0.95586,0.96408,0.98148,0.90237,0.95153,0.95642,0.97359,0.83444,0.43036,0.67658,0.0835,0.33092,0.90781,0.000676802,0.000676802,0.000676802
62,1613.04,0.53614,1.30525,0.14232,0.42727,0.97179,0.96061,0.96074,0.98235,0.89933,0.96381,0.96082,0.97517,0.85131,0.42987,0.65599,0.08172,0.32844,0.91892,0.000660299,0.000660299,0.000660299
63,1638.83,0.54134,1.28859,0.14032,0.43104,0.97,0.96326,0.95619,0.98401,0.89865,0.9637,0.96167,0.97938,0.86283,0.42519,0.5925,0.08186,0.32282,0.91324,0.000643795,0.000643795,0.000643795
64,1664.45,0.54545,1.31881,0.14113,0.43399,0.97552,0.95276,0.96918,0.98456,0.90223,0.95739,0.97132,0.98084,0.85155,0.43418,0.65763,0.07921,0.32207,0.91659,0.000627292,0.000627292,0.000627292
65,1690.01,0.52759,1.28164,0.14066,0.42566,0.96868,0.95505,0.96051,0.98327,0.9035,0.94898,0.95585,0.97514,0.84908,0.43257,0.6363,0.0854,0.32273,0.91566,0.000610789,0.000610789,0.000610789
66,1715.61,0.52862,1.29572,0.13828,0.42084,0.96836,0.96294,0.96812,0.98461,0.90246,0.96393,0.96756,0.98089,0.86074,0.42737,0.61462,0.08521,0.32479,0.91191,0.000594286,0.000594286,0.000594286
